music,singer,release_date,category,music_like,movie_like,movie_views
억,SUPERBEE,2018.10.27,랩/힙합,41041,,
I`m Fine,방탄소년단,2018.08.24,랩/힙합,228754,,
Sign,EXO,2018.11.02,댄스,88286,,
주황색,pH-1,2018.11.03,랩/힙합,34617,,
MOMM,키드밀리,2018.11.03,랩/힙합,36945,,
24/7,EXO,2018.11.02,R&B/Soul,97836,,
잘 지내요,정승환,2018.09.11,"발라드, 국내드라마",78822,1188,186883
닿은 순간,EXO,2018.11.02,댄스,96043,,
POP/STARS,"(여자)아이들, Madison Beer, Jaira Burns",2018.11.04,댄스,91516,2988,217583
Gravity,EXO,2018.11.02,댄스,101348,,
하루살이,DEAN,2018.11.08,R&B/Soul,59730,992,33447
Goodbye,웬디,2018.11.06,"발라드, 국내드라마",91260,,
이별하러 가는 길,임한별,2018.09.13,발라드,147898,526,106882
너는 어땠을까,노을,2018.11.05,발라드,112150,312,82555
NoNo,루피(Loopy),2018.11.03,랩/힙합,43512,,
수퍼비와,SUPERBEE,2018.11.03,랩/힙합,84910,,
YES or YES,TWICE,2018.11.05,댄스,160468,7358,2124030
여보세요,뉴이스트,2013.02.13,발라드,119670,4903,215348
우리의 새벽은 낮보다 뜨겁다,세븐틴,2018.07.16,댄스,107565,,
빛나리,펜타곤,2018.04.02,랩/힙합,124703,2268,459504
花요일,EXO-CBX,2018.04.10,댄스,126099,11983,235247
바다보러갈래,효린,2018.07.20,댄스,30966,590,240506
Love Maze,방탄소년단,2018.05.18,랩/힙합,184561,,
Magic Shop,방탄소년단,2018.05.18,랩/힙합,189853,,
Me No Jay Park,사이먼 도미닉,2018.07.25,랩/힙합,25081,834,61334
Airplane pt.2,방탄소년단,2018.05.18,랩/힙합,168399,,
불행),오반,2018.06.12,랩/힙합,82032,814,196894
소리,이수현,2018.07.29,"발라드, 국내드라마",45788,717,76882
지각,장덕철,2018.07.06,발라드,37648,163,36097
Anpanman,방탄소년단,2018.05.18,랩/힙합,192409,,
비,폴킴,2016.06.21,R&B/Soul,301433,856,139629
Youth,Troye Sivan,2016.01.23,POP,281039,2229,229504
