year,week_num,start_date,end_date,rank,music,singer,album
2019,52,2019.12.22,2019.12.28,64,HIT,세븐틴,HIT
2019,49,2019.12.01,2019.12.07,66,UN Village,백현 (BAEKHYUN),City Lights - The 1st Mini Album
2019,50,2019.12.08,2019.12.14,69,조금 더 외로워지겠지,김나영,검색어를 입력하세요 WWW OST Part 7
2019,48,2019.11.24,2019.11.30,74,U GOT IT,갓츄 (GOT U),PRODUCE X 101 - 31 Boys 5 Concepts
2019,47,2019.11.17,2019.11.23,79,돈 Call Me (Prod. BRLLNT),염따 (YumDDa),Dingo X 염따
2019,46,2019.11.10,2019.11.16,86,7 rings,Ariana Grande,7 rings
2019,45,2019.11.03,2019.11.09,93,"Blue (Feat. Crush, SOLE)",다이나믹 듀오 (Dynamic Duo),Blue
2019,32,2019.08.04,2019.08.10,6,헤어져줘서 고마워,벤 (Ben),헤어져줘서 고마워
2019,31,2019.07.28,2019.08.03,41,벌써 12시,청하,벌써 12시
2019,29,2019.07.14,2019.07.20,43,옥탑방,엔플라잉 (N.Flying),FLY HIGH PROJECT #2 `옥탑방`
2019,30,2019.07.21,2019.07.27,42,Goodbye,박효신,Goodbye
2019,37,2019.09.08,2019.09.14,46,사월이 지나면 우리 헤어져요 (Beautiful goodbye),첸 (CHEN),"사월, 그리고 꽃 - The 1st Mini Album"
2019,38,2019.09.15,2019.09.21,45,"나만, 봄",볼빨간사춘기,사춘기집Ⅰ 꽃기운
2019,35,2019.08.25,2019.08.31,49,Way Back Home,숀 (SHAUN),Take
2019,36,2019.09.01,2019.09.07,48,사계 (하루살이),엠씨더맥스 (M.C The Max),Circular
2019,33,2019.08.11,2019.08.17,52,열대야 (Fever),여자친구 (GFRIEND),The 7th Mini Album `FEVER SEASON`
2019,34,2019.08.18,2019.08.24,51,내 안부,이우,내 안부
2019,44,2019.10.27,2019.11.02,54,Believer,Imagine Dragons,Evolve
2019,42,2019.10.13,2019.10.19,57,Dance The Night Away,TWICE,Summer Nights
2019,43,2019.10.20,2019.10.26,56,누구 없소 (NO ONE) (Feat. B.I of iKON),이하이,24℃
2019,41,2019.10.06,2019.10.12,59,짐살라빔 (Zimzalabim),레드벨벳(Red Velvet),`The ReVe Festival` Day 1
2019,40,2019.09.29,2019.10.05,61,오늘 밤에,홍진영,Lots of Love
2019,39,2019.09.22,2019.09.28,63,비,폴킴,비
2019,51,2019.12.15,2019.12.21,62,봄날,방탄소년단,YOU NEVER WALK ALONE
2019,52,2019.12.22,2019.12.28,65,뭐해 (What are you up to),강다니엘,color on me
2019,49,2019.12.01,2019.12.07,67,180도,벤 (Ben),180˚
2019,50,2019.12.08,2019.12.14,70,Uh-Oh,(여자)아이들,Uh-Oh
2019,48,2019.11.24,2019.11.30,75,비오는 날 뭐해,하은 (라코스테남),비오는 날 뭐해
2019,47,2019.11.17,2019.11.23,80,이별하러 가는 길,임한별,이별하러 가는 길
2019,46,2019.11.10,2019.11.16,87,이 노래가 클럽에서 나온다면,우디(Woody),이 노래가 클럽에서 나온다면
2019,45,2019.11.03,2019.11.09,94,이뻐이뻐 (Pretty girl),크레파스,PRODUCE X 101 - 31 Boys 5 Concepts
2019,32,2019.08.04,2019.08.10,7,내 맘을 볼 수 있나요,헤이즈 (Heize),호텔 델루나 OST Part.5
