album,end_date,music,rank,singer,start_date,week_num,year
NewJeans 1st EP `New Jeans`,2023.04.01,Hype boy,3,NewJeans,2023.03.26,42,2022
Pink Venom,2023.03.04,Pink Venom,7,BLACKPINK,2023.02.26,43,2022
Rush Hour,2023.03.25,Rush Hour (Feat. j-hope of BTS),4,크러쉬 (CRUSH),2023.03.19,42,2022
딱 10CM만,2023.02.25,딱 10CM만,8,"10cm, BIG Naughty (서동현)",2023.02.19,43,2022
BORN PINK,2023.03.18,Shut Down,5,BLACKPINK,2023.03.12,42,2022
LOVE DIVE,2023.02.18,LOVE DIVE,9,IVE (아이브),2023.02.12,43,2022
NewJeans 1st EP `New Jeans`,2023.03.11,Attention,6,NewJeans,2023.03.05,42,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2023.04.15,새삥 (Prod. ZICO) (Feat. 호미들),1,지코 (ZICO),2023.04.09,41,2022
Rush Hour,2023.03.04,Rush Hour (Feat. j-hope of BTS),7,크러쉬 (CRUSH),2023.02.26,42,2022
After LIKE,2023.04.08,After LIKE,2,IVE (아이브),2023.04.02,41,2022
딱 10CM만,2023.02.25,딱 10CM만,8,"10cm, BIG Naughty (서동현)",2023.02.19,42,2022
BORN PINK,2023.04.01,Shut Down,3,BLACKPINK,2023.03.26,41,2022
LOVE DIVE,2023.02.18,LOVE DIVE,9,IVE (아이브),2023.02.12,42,2022
NewJeans 1st EP `New Jeans`,2023.03.25,Hype boy,4,NewJeans,2023.03.19,41,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2023.04.15,새삥 (Prod. ZICO) (Feat. 호미들),1,지코 (ZICO),2023.04.09,40,2022
NewJeans 1st EP `New Jeans`,2023.03.18,Hype boy,5,NewJeans,2023.03.12,41,2022
After LIKE,2023.04.08,After LIKE,2,IVE (아이브),2023.04.02,40,2022
Pink Venom,2023.03.11,Pink Venom,6,BLACKPINK,2023.03.05,41,2022
BORN PINK,2023.04.01,Shut Down,3,BLACKPINK,2023.03.26,40,2022
LOVE DIVE,2023.03.04,LOVE DIVE,7,IVE (아이브),2023.02.26,41,2022
NewJeans 1st EP `New Jeans`,2023.03.25,Attention,4,NewJeans,2023.03.19,40,2022
딱 10CM만,2023.02.25,딱 10CM만,8,"10cm, BIG Naughty (서동현)",2023.02.19,41,2022
NewJeans 1st EP `New Jeans`,2023.03.18,Hype boy,5,NewJeans,2023.03.12,40,2022
WSG워너비 1집,2023.02.18,그때 그 순간 그대로 (그그그),9,WSG워너비 (가야G),2023.02.12,41,2022
After LIKE,2023.04.15,After LIKE,1,IVE (아이브),2023.04.09,39,2022
NewJeans 1st EP `New Jeans`,2023.03.11,Hype boy,6,NewJeans,2023.03.05,40,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2023.04.08,새삥 (Prod. ZICO) (Feat. 호미들),2,지코 (ZICO),2023.04.02,39,2022
LOVE DIVE,2023.03.04,LOVE DIVE,7,IVE (아이브),2023.02.26,40,2022
BORN PINK,2023.04.01,Shut Down,3,BLACKPINK,2023.03.26,39,2022
질주 (2 Baddies) - The 4th Album,2023.02.25,질주 (2 Baddies),8,NCT 127,2023.02.19,40,2022
Pink Venom,2023.03.25,Pink Venom,4,BLACKPINK,2023.03.19,39,2022
FOREVER 1 - The 7th Album,2023.02.18,FOREVER 1,9,소녀시대,2023.02.12,40,2022
After LIKE,2023.04.15,After LIKE,1,IVE (아이브),2023.04.09,38,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2023.03.18,새삥 (Prod. ZICO) (Feat. 호미들),5,지코 (ZICO),2023.03.12,39,2022
NewJeans 1st EP `New Jeans`,2023.04.08,Attention,2,NewJeans,2023.04.02,38,2022
